plate_name,well,value,conc,r2,comment
PD9,F08,20015,32.45,0.98,
PD9,G08,10854,16.58,0.98,
PD9,H08,15338,24.35,0.98,
PD9,A09,900,0.00,0.98,
PD9,B09,6727,9.42,0.98,
PD9,C09,10451,15.88,0.98,
PD9,D09,962,0.00,0.98,
PD9,E09,1036,0.00,0.98,
PD9,F09,2049,1.32,0.98,
PD9,G09,3992,4.68,0.98,
PD9,H09,3424,3.70,0.98,
PD9,A10,1326,0.06,0.98,
PD9,B10,16409,26.20,0.98,
PD9,C10,1822,0.92,0.98,
PD9,D10,25351,41.70,0.98,
PD9,E10,1101,0.00,0.98,
PD9,F10,2290,1.73,0.98,
PD9,G10,1601,0.54,0.98,
PD9,H10,17011,27.25,0.98,
PD9,A11,825,0.00,0.98,
PD9,B11,9778,14.71,0.98,
PD9,C11,1831,0.94,0.98,
PD9,D11,1480,0.33,0.98,
PD9,E11,7485,10.74,0.98,
PD9,F11,1144,0.00,0.98,
PD9,G11,1090,0.00,0.98,
PD9,H11,19864,32.19,0.98,
PD9,A12,951,0.00,0.98,
PD9,B12,834,0.00,0.98,
PD9,C12,811,0.00,0.98,
PD9,D12,11922,18.43,0.98,
PD9,E12,1577,0.50,0.98,
PD9,F12,965,0.00,0.98,
PD9,G12,1067,0.00,0.98,
PD9,H12,2739,2.51,0.98,
