plate	well	opentron_position	status	stock_conc	diluent_vol	final_vol	final_conc
plateB	A03	2	conc below target	1.18	0	10.0	1.18
plateB	B03	2	OK	40.33	70.7	80.65	5.0
plateB	C03	2	OK	19.67	29.3	39.34	5.0
plateB	D03	2	conc below target	1.24	0	10.0	1.24
plateB	E03	2	transfer too small	5.73	0	10.0	5.73
plateB	F03	2	conc below target	2.98	0	10.0	2.98
plateB	G03	2	conc below target	1.21	0	10.0	1.21
plateB	H03	2	conc below target	1.2	0	10.0	1.2
plateB	A04	2	OK	27.5	45.0	55.0	5.0
plateB	B04	2	conc below target	1.59	0	10.0	1.59
plateB	C04	2	OK	35.73	61.5	71.46	5.0
plateB	D04	2	conc below target	1.48	0	10.0	1.48
plateB	E04	2	OK	56.12	102.2	112.23	5.0
plateB	F04	2	conc below target	1.56	0	10.0	1.56
plateB	G04	2	transfer too small	6.73	0	10.0	6.73
plateB	H04	2	conc below target	1.17	0	10.0	1.17
plateB	A05	2	conc below target	1.99	0	10.0	1.99
plateB	B05	2	OK	43.45	76.9	86.9	5.0
plateB	C05	2	conc below target	1.68	0	10.0	1.68
plateB	D05	2	OK	9.33	8.7	18.66	5.0
plateB	E05	2	OK	10.94	11.9	21.87	5.0
plateB	F05	2	conc below target	1.29	0	10.0	1.29
plateB	G05	2	OK	10.92	11.8	21.85	5.0
plateB	H05	2	conc below target	1.31	0	10.0	1.31
plateB	A06	2	OK	35.22	60.4	70.43	5.0
plateB	B06	2	OK	77.45	144.9	154.9	5.0
plateB	C06	2	OK	28.49	47.0	56.99	5.0
plateB	D06	2	conc below target	1.49	0	10.0	1.49
plateB	E06	2	conc below target	1.32	0	10.0	1.32
plateB	F06	2	conc below target	1.28	0	10.0	1.28
plateB	G06	2	conc below target	1.23	0	10.0	1.23
plateB	H06	2	conc below target	1.25	0	10.0	1.25
plateB	A07	2	OK	27.33	44.7	54.66	5.0
plateB	B07	2	conc below target	1.81	0	10.0	1.81
plateB	C07	2	conc below target	1.33	0	10.0	1.33
plateB	D07	2	conc below target	1.37	0	10.0	1.37
plateB	E07	2	conc below target	1.45	0	10.0	1.45
plateB	F07	2	OK	9.84	9.7	19.67	5.0
plateB	G07	2	OK	35.4	60.8	70.81	5.0
plateB	H07	2	conc below target	1.17	0	10.0	1.17
plateB	A08	2	conc below target	2.16	0	10.0	2.16
plateB	B08	2	OK	19.91	29.8	39.82	5.0
plateB	C08	2	conc below target	1.26	0	10.0	1.26
plateB	D08	2	OK	56.01	102.0	112.01	5.0
plateB	E08	2	conc below target	1.45	0	10.0	1.45
plateB	F08	2	OK	12.94	15.9	25.89	5.0
plateB	G08	2	OK	40.13	70.3	80.26	5.0
plateB	H08	2	conc below target	2.51	0	10.0	2.51
plateB	A09	2	conc below target	1.18	0	10.0	1.18
plateB	B09	2	OK	52.83	95.7	105.65	5.0
plateB	C09	2	conc below target	2.66	0	10.0	2.66
plateB	D09	2	transfer too small	6.27	0	10.0	6.27
plateB	E09	2	conc below target	2.24	0	10.0	2.24
plateB	F09	2	OK	37.56	65.1	75.13	5.0
plateB	G09	2	conc below target	2.01	0	10.0	2.01
plateB	H09	2	OK	34.62	59.2	69.23	5.0
plateB	A10	2	OK	9.01	8.0	18.02	5.0
plateB	B10	2	OK	28.12	46.2	56.24	5.0
plateB	C10	2	conc below target	1.46	0	10.0	1.46
plateB	D10	2	conc below target	2.32	0	10.0	2.32
plateB	E10	2	conc below target	1.93	0	10.0	1.93
plateB	F10	2	conc below target	1.26	0	10.0	1.26
plateB	G10	2	OK	65.08	120.2	130.15	5.0
plateB	H10	2	OK	58.87	107.7	117.73	5.0
plateB	A11	2	conc below target	1.45	0	10.0	1.45
plateB	B11	2	conc below target	1.36	0	10.0	1.36
plateB	C11	2	conc below target	1.15	0	10.0	1.15
plateB	D11	2	OK	13.2	16.4	26.41	5.0
plateB	E11	2	conc below target	2.05	0	10.0	2.05
plateB	F11	2	OK	10.1	10.2	20.2	5.0
plateB	G11	2	conc below target	1.46	0	10.0	1.46
plateB	H11	2	OK	72.67	135.3	145.34	5.0
plateB	A12	2	conc below target	3.89	0	10.0	3.89
plateB	B12	2	transfer too small	5.54	0	10.0	5.54
