Sample_ID,Well,Plate,Country,RNA_conc(ng/µl),Aim conc (ng/µl),Final conc (ng/µl),RNA (µl),H2O (µl),End_vol (µl),,Final Conc.Total (ng),,,
CAR0867,H02,RPA0005,USA,356.8,20.0,21.4,3.0,47.0,50.0,50.0,1070.4,,,
CGR0062,A03,RPA0005,GER,112.5,20.0,20.3,9.0,41.0,50.0,50.0,1012.5,,,
CFR0188,B03,RPA0005,FRA,19.9,20.0,10.0,25.0,25.0,50.0,50.0,497.5,,,
CGR0009,C03,RPA0005,GER,66.9,20.0,20.1,15.0,35.0,50.0,50.0,1003.5,,,
blank,D03,RPA0005,BLANK,8.9,20.0,4.5,25.0,25.0,50.0,50.0,222.5,,,
CFR0300,E03,RPA0005,FRA,127.6,20.0,20.4,8.0,42.0,50.0,50.0,1020.8,,,
CFR0332,F03,RPA0005,FRA,212.8,20.0,21.3,5.0,45.0,50.0,50.0,1064.0,,,
CGR0186,G03,RPA0005,GER,132.5,20.0,21.2,8.0,42.0,50.0,50.0,1060.0,,,
CAR0776,H03,RPA0005,USA,258.2,20.0,20.7,4.0,46.0,50.0,50.0,1032.8,,,
CFR0376,A04,RPA0005,FRA,220.5,20.0,20.3,4.6,45.4,50.0,50.0,1014.3,,,
CGR0400,B04,RPA0005,GER,76,20.0,22.8,15.0,35.0,50.0,50.0,1140.0,,,
CFR0326,C04,RPA0005,FRA,64.4,20.0,20.6,16.0,34.0,50.0,50.0,1030.4,,,
CFR0006,D04,RPA0005,FRA,18.7,20.0,9.4,25.0,25.0,50.0,50.0,467.5,,,
CGR0072,E04,RPA0005,GER,94.3,20.0,18.9,10.0,40.0,50.0,50.0,943.0,,,
CAR0869,F04,RPA0005,USA,84.2,20.0,16.8,10.0,40.0,50.0,50.0,842.0,,,
CGR0064,G04,RPA0005,GER,191.1,20.0,20.6,5.4,44.6,50.0,50.0,1031.9,,,
CFR0011,H04,RPA0005,FRA,57.3,20.0,20.6,18.0,32.0,50.0,50.0,1031.4,,,
CFR0231,A05,RPA0005,FRA,68.4,20.0,20.5,15.0,35.0,50.0,50.0,1026.0,,,
CGR0135,B05,RPA0005,GER,353.6,20.0,21.2,3.0,47.0,50.0,50.0,1060.8,,,
CGR0163,C05,RPA0005,GER,388.5,20.0,20.2,2.6,47.4,50.0,50.0,1010.1,,,
CGR0063,D05,RPA0005,GER,253.9,20.0,20.3,4.0,46.0,50.0,50.0,1015.6,,,
CGR0410,E05,RPA0005,GER,115,20.0,20.7,9.0,41.0,50.0,50.0,1035.0,,,
CAR0363,F05,RPA0005,USA,98.4,20.0,19.7,10.0,40.0,50.0,50.0,984.0,,,
CGR0344,G05,RPA0005,GER,143.8,20.0,20.0,7.0,43.0,50.0,50.0,1000.0,,,
CGR0154,H05,RPA0005,GER,540.2,20.0,21.6,2.0,48.0,50.0,50.0,1080.4,,,
CGR0264,A06,RPA0005,GER,682.8,20.0,27.3,2.0,48.0,50.0,50.0,1365.6,,,
CAR0761,B06,RPA0005,USA,300.2,20.0,20.4,3.4,46.6,50.0,50.0,1020.7,,,
CAR0660,C06,RPA0005,USA,113.4,20.0,20.4,9.0,41.0,50.0,50.0,1020.6,,,
CGR0296,D06,RPA0005,GER,230.7,20.0,20.1,4.4,46.0,50.0,50.4,1007.0,,,
CGR0362,E06,RPA0005,GER,149.6,20.0,20.9,7.0,43.0,50.0,50.0,1047.2,,,
CGR0454,F06,RPA0005,GER,218.8,20.0,21.9,5.0,45.0,50.0,50.0,1094.0,,,
CGR0399,G06,RPA0005,GER,28.7,20.0,14.4,25.0,25.0,50.0,50.0,717.5,,,
CFR0419,H06,RPA0005,FRA,68.5,20.0,20.6,15.0,35.0,50.0,50.0,1027.5,,,
CGR0088,A07,RPA0005,GER,153.3,20.0,21.5,7.0,43.0,50.0,50.0,1073.1,,,
CGR0052,B07,RPA0005,GER,118.9,20.0,21.4,9.0,41.0,50.0,50.0,1070.1,,,
CGR0463,C07,RPA0005,GER,269.1,20.0,21.5,4.0,46.0,50.0,50.0,1076.4,,,
CGR0306,D07,RPA0005,GER,392.5,20.0,20.4,2.6,47.4,50.0,50.0,1020.5,,,
CAR0779,E07,RPA0005,USA,265.2,20.0,21.2,4.0,46.0,50.0,50.0,1060.8,,,
CFR0121,F07,RPA0005,FRA,180.4,20.0,20.2,5.6,44.4,50.0,50.0,1010.2,,,
EB,G07,RPA0005,EB,6.8,20.0,3.4,25.0,25.0,50.0,50.0,170.0,,,
CGR0455,H07,RPA0005,GER,158.1,20.0,20.2,6.4,43.6,50.0,50.0,1011.8,,,
CGR0465,A08,RPA0005,GER,319.4,20.0,20.4,3.2,46.8,50.0,50.0,1022.1,,,
CFR0239,B08,RPA0005,FRA,93.3,20.0,18.7,10.0,40.0,50.0,50.0,933.0,,,
CAR0857,C08,RPA0005,USA,307.8,20.0,19.7,3.2,46.8,50.0,50.0,985.0,,,
CAR0838,D08,RPA0005,USA,227.4,20.0,20.0,4.4,45.6,50.0,50.0,1000.6,,,
CAR0839,E08,RPA0005,USA,101.9,20.0,20.4,10.0,40.0,50.0,50.0,1019.0,,,
CFR0203,F08,RPA0005,FRA,173.4,20.0,20.8,6.0,44.0,50.0,50.0,1040.4,,,
CAR0873,G08,RPA0005,USA,225.2,20.0,19.8,4.4,45.6,50.0,50.0,990.9,,,
CFR0272,H08,RPA0005,FRA,55.7,20.0,20.0,18.0,32.0,50.0,50.0,1000.0,,,
CGR0164,A09,RPA0005,GER,255.3,20.0,20.4,4.0,46.0,50.0,50.0,1021.2,,,
CGR0093,B09,RPA0005,GER,143.4,20.0,20.0,7.0,43.0,50.0,50.0,1000.0,,,
CAR0909,C09,RPA0005,USA,108.7,20.0,21.7,10.0,40.0,50.0,50.0,1087.0,,,
CGR0133,D09,RPA0005,GER,221.5,20.0,20.4,4.6,45.4,50.0,50.0,1018.9,,,
CFR0255,E09,RPA0005,FRA,42,20.0,20.2,24.0,26.0,50.0,50.0,1008.0,,,
CAR0405,F09,RPA0005,USA,18.8,20.0,9.4,25.0,25.0,50.0,50.0,470.0,,,
CGR0457,G09,RPA0005,GER,191.8,20.0,19.9,5.2,45.0,50.0,50.2,993.4,,,
CAR0764,H09,RPA0005,USA,163.4,20.0,19.6,6.0,44.0,50.0,50.0,980.4,,,
CFR0107,A10,RPA0005,FRA,213.1,20.0,21.3,5.0,45.0,50.0,50.0,1065.5,,,
CFR0064,B10,RPA0005,FRA,130.3,20.0,20.8,8.0,42.0,50.0,50.0,1042.4,,,
CAR0686,C10,RPA0005,USA,117.5,20.0,21.2,9.0,41.0,50.0,50.0,1057.5,,,
CAR0546,D10,RPA0005,USA,215.8,20.0,21.6,5.0,45.0,50.0,50.0,1079.0,,,
CFR0378,E10,RPA0005,FRA,291.2,20.0,19.6,3.4,47.0,50.0,50.4,982.2,,,
CAR0385,F10,RPA0005,USA,81.7,20.0,16.3,10.0,40.0,50.0,50.0,817.0,,,
CFR0114,G10,RPA0005,FRA,107.7,20.0,21.5,10.0,40.0,50.0,50.0,1077.0,,,
CAR0763,H10,RPA0005,USA,275,20.0,22.0,4.0,46.0,50.0,50.0,1100.0,,,
CAR0347,A11,RPA0005,USA,38.7,20.0,19.4,25.0,25.0,50.0,50.0,967.5,,,
CFR0136,B11,RPA0005,FRA,425.7,20.0,20.3,2.4,48.0,50.0,50.4,1013.6,,,
CGR0083,C11,RPA0005,GER,140.7,20.0,20.2,7.2,43.0,50.0,50.2,1009.0,,,
CFR0430,D11,RPA0005,FRA,449.9,20.0,19.7,2.2,48.0,50.0,50.2,985.8,,,
CAR0865,E11,RPA0005,USA,294,20.0,20.0,3.4,46.6,50.0,50.0,999.6,,,
CFR0236,F11,RPA0005,FRA,132.4,20.0,21.2,8.0,42.0,50.0,50.0,1059.2,,,
CGR0224,G11,RPA0005,GER,215.6,20.0,21.6,5.0,45.0,50.0,50.0,1078.0,,,
CGR0402,H11,RPA0005,GER,77.1,20.0,23.1,15.0,35.0,50.0,50.0,1156.5,,,
CAR0404,A12,RPA0005,USA,15.3,20.0,7.7,25.0,25.0,50.0,50.0,382.5,,,
CAR0762,B12,RPA0005,USA,155.7,20.0,20.0,6.4,43.6,50.0,50.0,1000.0,,,
CFR0354,C12,RPA0005,FRA,22.1,20.0,20.0,45.2,4.8,50.0,50.0,1000.0,,,
CFR0302,D12,RPA0005,FRA,133.4,20.0,20.0,7.5,42.5,50.0,50.0,1000.0,,,
DEPC,E12,RPA0005,DEPC,8.9,20.0,4.5,25.0,25.0,50.0,50.0,222.5,,,
blank,F12,RPA0005,BLANK,6.7,20.0,3.4,25.0,25.0,50.0,50.0,167.5,,,
CGR0433,G12,RPA0005,GER,118.7,20.0,20.0,8.4,41.6,50.0,50.0,1000.0,,,
CAR0714,H12,RPA0005,USA,78.1,20.0,15.6,10.0,40.0,50.0,50.0,781.0,,,
CAR0833,A01,RPA0006,USA,NA,20.0,#VALUE!,25.0,25.0,50.0,50.0,#VALUE!,,,
CFR0035,B01,RPA0006,FRA,8.5,20.0,4.3,25.0,25.0,50.0,50.0,212.5,,,
CGR0451,C01,RPA0006,GER,83.2,20.0,16.6,10.0,40.0,50.0,50.0,832.0,,,
CAR0524,D01,RPA0006,USA,75.8,20.0,22.7,15.0,35.0,50.0,50.0,1137.0,,,
CGR0175,E01,RPA0006,GER,450.3,20.0,19.9,2.2,48.0,50.0,50.2,995.6,,,
DEPC,F01,RPA0006,DEPC,5.7,20.0,2.9,25.0,25.0,50.0,50.0,142.5,,,
CAR0713,G01,RPA0006,USA,114.7,20.0,20.2,8.8,41.2,50.0,50.0,1009.4,,,
CAR0943,H01,RPA0006,USA,152.3,20.0,20.1,6.6,43.4,50.0,50.0,1005.2,,,
CFR0034,A02,RPA0006,FRA,5,20.0,2.5,25.0,25.0,50.0,50.0,125.0,,,
CFR0484,B02,RPA0006,FRA,63.2,20.0,19.0,15.0,35.0,50.0,50.0,948.0,,,
CGR0194,C02,RPA0006,GER,147.7,20.0,20.7,7.0,43.0,50.0,50.0,1033.9,,,
CFR0103,D02,RPA0006,FRA,224.5,20.0,19.8,4.4,45.6,50.0,50.0,987.8,,,
blank,E02,RPA0006,BLANK,3.8,20.0,1.9,25.0,25.0,50.0,50.0,95.0,,,
CFR0291,F02,RPA0006,FRA,97.7,20.0,19.5,10.0,40.0,50.0,50.0,977.0,,,
CFR0263,G02,RPA0006,FRA,29.4,20.0,14.7,25.0,25.0,50.0,50.0,735.0,,,
CGR0207,H02,RPA0006,GER,53.5,20.0,20.3,19.0,31.0,50.0,50.0,1016.5,,,
CGR0150,A03,RPA0006,GER,336.9,20.0,20.0,3.0,47.0,50.0,50.0,1000.0,,,
CAR0433,B03,RPA0006,USA,102.4,20.0,20.5,10.0,40.0,50.0,50.0,1024.0,,,
blank,C03,RPA0006,BLANK,6.5,20.0,3.3,25.0,25.0,50.0,50.0,162.5,,,
CFR0192,D03,RPA0006,FRA,49.9,20.0,20.0,20.0,30.0,50.0,50.0,1000.0,,,
CGR0059,E03,RPA0006,GER,24.7,20.0,12.4,25.0,25.0,50.0,50.0,617.5,,,
CFR0261,F03,RPA0006,FRA,51.3,20.0,20.5,20.0,30.0,50.0,50.0,1026.0,,,
CAR0818,G03,RPA0006,USA,15.8,20.0,7.9,25.0,25.0,50.0,50.0,395.0,,,
CGR0151,H03,RPA0006,GER,322.1,20.0,20.5,3.2,47.0,50.0,50.2,1026.6,,,
CAR0815,A04,RPA0006,USA,59.7,20.0,20.3,17.0,33.0,50.0,50.0,1014.9,,,
CGR0168,B04,RPA0006,GER,126.9,20.0,20.3,8.0,42.0,50.0,50.0,1015.2,,,
CAR0732,C04,RPA0006,USA,224.4,20.0,19.7,4.4,45.6,50.0,50.0,987.4,,,
CFR0147,D04,RPA0006,FRA,17.6,20.0,8.8,25.0,25.0,50.0,50.0,440.0,,,
CAR0849,E04,RPA0006,USA,459.5,20.0,20.2,2.2,47.8,50.0,50.0,1010.9,,,
CGR0183,F04,RPA0006,GER,585.4,20.0,23.4,2.0,48.0,50.0,50.0,1170.8,,,
CFR0128,G04,RPA0006,FRA,41.1,20.0,20.6,25.0,25.0,50.0,50.0,1027.5,,,
CFR0450,H04,RPA0006,FRA,29.1,20.0,14.6,25.0,25.0,50.0,50.0,727.5,,,
CGR0260,A05,RPA0006,GER,325.5,20.0,19.5,3.0,47.0,50.0,50.0,976.5,,,
CAR0894,B05,RPA0006,USA,101.6,20.0,20.3,10.0,40.0,50.0,50.0,1016.0,,,
CGR0324,C05,RPA0006,GER,124.5,20.0,20.0,8.0,42.0,50.0,50.0,1000.0,,,
CFR0223,D05,RPA0006,FRA,20.8,20.0,10.4,25.0,25.0,50.0,50.0,520.0,,,
CGR0314,E05,RPA0006,GER,331.3,20.0,20.0,3.0,47.0,50.0,50.0,1000.0,,,
CGR0131,F05,RPA0006,GER,431.2,20.0,19.0,2.2,48.0,50.0,50.2,948.6,,,
CAR0690,G05,RPA0006,USA,3.5,20.0,1.8,25.0,25.0,50.0,50.0,87.5,,,
CFR0228,H05,RPA0006,FRA,59.5,20.0,20.2,17.0,33.0,50.0,50.0,1011.5,,,
CAR0908,A06,RPA0006,USA,163.9,20.0,19.7,6.0,44.0,50.0,50.0,983.4,,,
CFR0252,B06,RPA0006,FRA,173.5,20.0,20.8,6.0,44.0,50.0,50.0,1041.0,,,
CGR0107,C06,RPA0006,GER,87.5,20.0,17.5,10.0,40.0,50.0,50.0,875.0,,,
blank,D06,RPA0006,BLANK,3.6,20.0,1.8,25.0,25.0,50.0,50.0,90.0,,,
CGR0155,E06,RPA0006,GER,257.2,20.0,20.6,4.0,46.0,50.0,50.0,1028.8,,,
CFR0026,F06,RPA0006,FRA,10.5,20.0,5.3,25.0,25.0,50.0,50.0,262.5,,,
CGR0464,G06,RPA0006,GER,25.6,20.0,12.8,25.0,25.0,50.0,50.0,640.0,,,
CAR0767,H06,RPA0006,USA,224.8,20.0,19.8,4.4,45.6,50.0,50.0,989.1,,,
CAR0920,A07,RPA0006,USA,123.3,20.0,19.7,8.0,42.0,50.0,50.0,986.4,,,
CGR0058,B07,RPA0006,GER,147,20.0,20.6,7.0,43.0,50.0,50.0,1029.0,,,
CFR0247,C07,RPA0006,FRA,148.3,20.0,20.8,7.0,43.0,50.0,50.0,1038.1,,,
CGR0139,D07,RPA0006,GER,204.5,20.0,20.5,5.0,45.0,50.0,50.0,1022.5,,,
CGR0342,E07,RPA0006,GER,564,20.0,22.6,2.0,48.0,50.0,50.0,1128.0,,,
CAR0793,F07,RPA0006,USA,643.3,20.0,25.7,2.0,48.0,50.0,50.0,1286.6,,,
CFR0153,G07,RPA0006,FRA,47.4,20.0,19.9,21.0,29.0,50.0,50.0,995.4,,,
CFR0108,H07,RPA0006,FRA,280.8,20.0,20.2,3.6,46.4,50.0,50.0,1010.9,,,
CAR0329,A08,RPA0006,USA,75.1,20.0,22.5,15.0,35.0,50.0,50.0,1126.5,,,
CFR0438,B08,RPA0006,FRA,4.7,20.0,2.4,25.0,25.0,50.0,50.0,117.5,,,
CFR0100,C08,RPA0006,FRA,35.9,20.0,18.0,25.0,25.0,50.0,50.0,897.5,,,
CAR0726,D08,RPA0006,USA,87.5,20.0,17.5,10.0,40.0,50.0,50.0,875.0,,,
CAR0401,E08,RPA0006,USA,13.6,20.0,6.8,25.0,25.0,50.0,50.0,340.0,,,
CGR0149,F08,RPA0006,GER,347.7,20.0,20.9,3.0,47.0,50.0,50.0,1043.1,,,
CGR0332,G08,RPA0006,GER,139.8,20.0,19.6,7.0,43.0,50.0,50.0,978.6,,,
CGR0129,H08,RPA0006,GER,501.4,20.0,20.0,2.0,48.0,50.0,50.0,1000.0,,,
EB,A09,RPA0006,EB,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0283,B09,RPA0006,FRA,28.8,20.0,14.4,25.0,25.0,50.0,50.0,720.0,,,
CAR0672,C09,RPA0006,USA,216,20.0,21.6,5.0,45.0,50.0,50.0,1080.0,,,
CFR0174,D09,RPA0006,FRA,190.8,20.0,19.8,5.2,45.0,50.0,50.2,988.2,,,
blank,E09,RPA0006,BLANK,2.6,20.0,1.3,25.0,25.0,50.0,50.0,65.0,,,
CGR0105,F09,RPA0006,GER,111.4,20.0,20.0,9.0,41.0,50.0,50.0,1000.0,,,
CGR0166,G09,RPA0006,GER,30.2,20.0,15.1,25.0,25.0,50.0,50.0,755.0,,,
CGR0195,H09,RPA0006,GER,48.5,20.0,19.7,20.6,30.0,50.0,50.6,987.3,,,
CFR0161,A10,RPA0006,FRA,150.6,20.0,19.9,6.6,43.4,50.0,50.0,994.0,,,
CFR0405,B10,RPA0006,FRA,137.3,20.0,19.7,7.2,43.0,50.0,50.2,984.6,,,
CGR0178,C10,RPA0006,GER,266.3,20.0,20.2,3.8,46.2,50.0,50.0,1011.9,,,
CGR0193,D10,RPA0006,GER,474.5,20.0,20.8,2.2,48.0,50.0,50.2,1039.7,,,
CGR0204,E10,RPA0006,GER,107.8,20.0,19.8,9.2,40.8,50.0,50.0,991.8,,,
CFR0096,F10,RPA0006,FRA,29.6,20.0,14.8,25.0,25.0,50.0,50.0,740.0,,,
CAR0963,G10,RPA0006,USA,422.4,20.0,20.1,2.4,48.0,50.0,50.4,1005.7,,,
CAR0390,H10,RPA0006,USA,71.9,20.0,21.6,15.0,35.0,50.0,50.0,1078.5,,,
CFR0042,A11,RPA0006,FRA,25.2,20.0,12.6,25.0,25.0,50.0,50.0,630.0,,,
CFR0191,B11,RPA0006,FRA,10.3,20.0,5.2,25.0,25.0,50.0,50.0,257.5,,,
CAR0870,C11,RPA0006,USA,48.3,20.0,20.3,21.0,29.0,50.0,50.0,1014.3,,,
CAR0440,D11,RPA0006,USA,17.2,20.0,8.6,25.0,25.0,50.0,50.0,430.0,,,
CFR0033,E11,RPA0006,FRA,10.6,20.0,5.3,25.0,25.0,50.0,50.0,265.0,,,
CAR0816,F11,RPA0006,USA,122.5,20.0,19.6,8.0,42.0,50.0,50.0,980.0,,,
CGR0322,G11,RPA0006,GER,133.2,20.0,18.6,7.0,43.0,50.0,50.0,932.4,,,
CAR0731,H11,RPA0006,USA,240.4,20.0,19.2,4.0,46.0,50.0,50.0,961.6,,,
CGR0104,A12,RPA0006,GER,48,20.0,20.2,21.0,29.0,50.0,50.0,1008.0,,,
CAR0919,B12,RPA0006,USA,396.8,20.0,15.9,2.0,48.0,50.0,50.0,793.6,,,
CFR0060,C12,RPA0006,FRA,28.6,20.0,14.3,25.0,25.0,50.0,50.0,715.0,,,
CGR0367,D12,RPA0006,GER,28.7,20.0,14.4,25.0,25.0,50.0,50.0,717.5,,,
CFR0187,E12,RPA0006,FRA,20.1,20.0,10.1,25.0,25.0,50.0,50.0,502.5,,,
CFR0395,F12,RPA0006,FRA,115.5,20.0,20.8,9.0,41.0,50.0,50.0,1039.5,,,
CFR0334,G12,RPA0006,FRA,80.6,20.0,16.1,10.0,40.0,50.0,50.0,806.0,,,
CGR0187,H12,RPA0006,GER,72.2,20.0,21.7,15.0,35.0,50.0,50.0,1083.0,,,
CGR0341,A01,RPA0007,GER,198.2,20.0,20.0,5.0,45.0,50.0,50.0,1000.0,,,
CAR0367,B01,RPA0007,USA,206.9,20.0,20.7,5.0,45.0,50.0,50.0,1034.5,,,
CGR0288,C01,RPA0007,GER,126.7,20.0,20.3,8.0,42.0,50.0,50.0,1013.6,,,
CGR0134,D01,RPA0007,GER,209.7,20.0,21.0,5.0,45.0,50.0,50.0,1048.5,,,
CGR0165,E01,RPA0007,GER,160.2,20.0,19.2,6.0,44.0,50.0,50.0,961.2,,,
CGR0182,F01,RPA0007,GER,1020.6,20.0,40.8,2.0,48.0,50.0,50.0,2041.2,,,
CFR0305,G01,RPA0007,FRA,196.6,20.0,19.7,5.0,45.0,50.0,50.0,983.0,,,
CGR0179,H01,RPA0007,GER,463.6,20.0,18.5,2.0,48.0,50.0,50.0,927.2,,,
blank,A02,RPA0007,BLANK,5.3,20.0,2.7,25.0,25.0,50.0,50.0,132.5,,,
CAR0564,B02,RPA0007,USA,84.6,20.0,16.9,10.0,40.0,50.0,50.0,846.0,,,
CFR0166,C02,RPA0007,FRA,142.2,20.0,20.0,7.0,43.0,50.0,50.0,1000.0,,,
CAR0689,D02,RPA0007,USA,59.7,20.0,20.3,17.0,33.0,50.0,50.0,1014.9,,,
CAR0858,E02,RPA0007,USA,540.3,20.0,21.6,2.0,48.0,50.0,50.0,1080.6,,,
CAR0416,F02,RPA0007,USA,168.9,20.0,20.3,6.0,44.0,50.0,50.0,1013.4,,,
CGR0276,G02,RPA0007,GER,128.7,20.0,20.6,8.0,42.0,50.0,50.0,1029.6,,,
CFR0068,H02,RPA0007,FRA,80.9,20.0,16.2,10.0,40.0,50.0,50.0,809.0,,,
CFR0327,A03,RPA0007,FRA,50.4,20.0,20.2,20.0,30.0,50.0,50.0,1008.0,,,
CGR0053,B03,RPA0007,GER,75.9,20.0,22.8,15.0,35.0,50.0,50.0,1138.5,,,
CAR0437,C03,RPA0007,USA,244.5,20.0,19.6,4.0,46.0,50.0,50.0,978.0,,,
CAR0704,D03,RPA0007,USA,81.7,20.0,16.3,10.0,40.0,50.0,50.0,817.0,,,
CGR0086,E03,RPA0007,GER,134.7,20.0,18.9,7.0,43.0,50.0,50.0,942.9,,,
CGR0076,F03,RPA0007,GER,30.5,20.0,15.3,25.0,25.0,50.0,50.0,762.5,,,
CFR0038,G03,RPA0007,FRA,34.3,20.0,17.2,25.0,25.0,50.0,50.0,857.5,,,
CAR0654,H03,RPA0007,USA,55.7,20.0,20.0,18.0,32.0,50.0,50.0,1000.0,,,
CFR0206,A04,RPA0007,FRA,110.2,20.0,19.8,9.0,41.0,50.0,50.0,991.8,,,
CAR0729,B04,RPA0007,USA,88.3,20.0,17.7,10.0,40.0,50.0,50.0,883.0,,,
CFR0222,C04,RPA0007,FRA,283.6,20.0,17.0,3.0,47.0,50.0,50.0,850.8,,,
CFR0049,D04,RPA0007,FRA,94.8,20.0,19.0,10.0,40.0,50.0,50.0,948.0,,,
CGR0420,E04,RPA0007,GER,228.6,20.0,18.3,4.0,46.0,50.0,50.0,914.4,,,
EB,F04,RPA0007,EB,9.9,20.0,5.0,25.0,25.0,50.0,50.0,247.5,,,
blank,G04,RPA0007,BLANK,7.2,20.0,3.6,25.0,25.0,50.0,50.0,180.0,,,
CGR0040,H04,RPA0007,GER,76.1,20.0,22.8,15.0,35.0,50.0,50.0,1141.5,,,
CFR0404,A05,RPA0007,FRA,342,20.0,20.5,3.0,47.0,50.0,50.0,1026.0,,,
CFR0402,B05,RPA0007,FRA,195.7,20.0,19.6,5.0,45.0,50.0,50.0,978.5,,,
CGR0074,C05,RPA0007,GER,26.5,20.0,13.3,25.0,25.0,50.0,50.0,662.5,,,
CFR0308,D05,RPA0007,FRA,138,20.0,19.3,7.0,43.0,50.0,50.0,966.0,,,
CAR0759,E05,RPA0007,USA,200.1,20.0,20.0,5.0,45.0,50.0,50.0,1000.0,,,
CFR0069,F05,RPA0007,FRA,135.4,20.0,21.7,8.0,42.0,50.0,50.0,1083.2,,,
CFR0020,G05,RPA0007,FRA,51.8,20.0,20.7,20.0,30.0,50.0,50.0,1036.0,,,
CFR0167,H05,RPA0007,FRA,274.7,20.0,22.0,4.0,46.0,50.0,50.0,1098.8,,,
CFR0213,A06,RPA0007,FRA,164.5,20.0,19.7,6.0,44.0,50.0,50.0,987.0,,,
CFR0160,B06,RPA0007,FRA,169.3,20.0,20.3,6.0,44.0,50.0,50.0,1015.8,,,
CFR0279,C06,RPA0007,FRA,136.5,20.0,19.1,7.0,43.0,50.0,50.0,955.5,,,
CGR0028,D06,RPA0007,GER,51.7,20.0,20.7,20.0,30.0,50.0,50.0,1034.0,,,
CAR0656,E06,RPA0007,USA,147.4,20.0,20.6,7.0,43.0,50.0,50.0,1031.8,,,
CGR0214,F06,RPA0007,GER,70.1,20.0,21.0,15.0,35.0,50.0,50.0,1051.5,,,
CFR0152,G06,RPA0007,FRA,58.4,20.0,19.9,17.0,33.0,50.0,50.0,992.8,,,
CFR0330,H06,RPA0007,FRA,121.7,20.0,19.5,8.0,42.0,50.0,50.0,973.6,,,
CAR0942,A07,RPA0007,USA,223.5,20.0,17.9,4.0,46.0,50.0,50.0,894.0,,,
CGR0379,B07,RPA0007,GER,236.1,20.0,18.9,4.0,46.0,50.0,50.0,944.4,,,
CGR0027,C07,RPA0007,GER,27.2,20.0,13.6,25.0,25.0,50.0,50.0,680.0,,,
CGR0041,D07,RPA0007,GER,144.7,20.0,20.3,7.0,43.0,50.0,50.0,1012.9,,,
CGR0392,E07,RPA0007,GER,36.6,20.0,18.3,25.0,25.0,50.0,50.0,915.0,,,
CGR0427,F07,RPA0007,GER,326.4,20.0,19.6,3.0,47.0,50.0,50.0,979.2,,,
CFR0158,G07,RPA0007,FRA,145.9,20.0,20.4,7.0,43.0,50.0,50.0,1021.3,,,
CFR0085,H07,RPA0007,FRA,37.7,20.0,18.9,25.0,25.0,50.0,50.0,942.5,,,
CGR0043,A08,RPA0007,GER,150.5,20.0,21.1,7.0,43.0,50.0,50.0,1053.5,,,
CFR0144,B08,RPA0007,FRA,183.4,20.0,18.3,5.0,45.0,50.0,50.0,917.0,,,
CGR0070,C08,RPA0007,GER,59.9,20.0,20.4,17.0,33.0,50.0,50.0,1018.3,,,
DEPC,D08,RPA0007,DEPC,4.6,20.0,2.3,25.0,25.0,50.0,50.0,115.0,,,
CFR0056,E08,RPA0007,FRA,48.9,20.0,20.5,21.0,29.0,50.0,50.0,1026.9,,,
CFR0392,F08,RPA0007,FRA,97.2,20.0,19.4,10.0,40.0,50.0,50.0,972.0,,,
CAR0803,G08,RPA0007,USA,179.7,20.0,21.6,6.0,44.0,50.0,50.0,1078.2,,,
CFR0139,H08,RPA0007,FRA,265,20.0,21.2,4.0,46.0,50.0,50.0,1060.0,,,
CFR0183,A09,RPA0007,FRA,20.4,20.0,10.2,25.0,25.0,50.0,50.0,510.0,,,
CFR0134,B09,RPA0007,FRA,300.9,20.0,18.1,3.0,47.0,50.0,50.0,902.7,,,
CGR0007,C09,RPA0007,GER,55.4,20.0,19.9,18.0,32.0,50.0,50.0,997.2,,,
CAR0422,D09,RPA0007,USA,335,20.0,20.0,3.0,47.0,50.0,50.0,1000.0,,,
CGR0099,E09,RPA0007,GER,97.4,20.0,19.5,10.0,40.0,50.0,50.0,974.0,,,
CFR0274,F09,RPA0007,FRA,13.8,20.0,6.9,25.0,25.0,50.0,50.0,345.0,,,
CFR0441,G09,RPA0007,FRA,39.7,20.0,19.9,25.0,25.0,50.0,50.0,992.5,,,
CFR0055,H09,RPA0007,FRA,39,20.0,19.5,25.0,25.0,50.0,50.0,975.0,,,
CFR0277,A10,RPA0007,FRA,149.7,20.0,21.0,7.0,43.0,50.0,50.0,1047.9,,,
CGR0394,B10,RPA0007,GER,299.9,20.0,18.0,3.0,47.0,50.0,50.0,899.7,,,
CAR0921,C10,RPA0007,USA,361.2,20.0,21.7,3.0,47.0,50.0,50.0,1083.6,,,
CGR0281,D10,RPA0007,GER,320.4,20.0,19.2,3.0,47.0,50.0,50.0,961.2,,,
CGR0301,E10,RPA0007,GER,97.9,20.0,19.6,10.0,40.0,50.0,50.0,979.0,,,
CFR0024,F10,RPA0007,FRA,43.9,20.0,20.2,23.0,27.0,50.0,50.0,1009.7,,,
CAR0747,G10,RPA0007,USA,104.9,20.0,21.0,10.0,40.0,50.0,50.0,1049.0,,,
CGR0255,H10,RPA0007,GER,252.6,20.0,20.0,4.0,46.0,50.0,50.0,1000.0,,,
CGR0389,A11,RPA0007,GER,309.1,20.0,18.5,3.0,47.0,50.0,50.0,927.3,,,
CAR0655,B11,RPA0007,USA,80.2,20.0,16.0,10.0,40.0,50.0,50.0,802.0,,,
