Sample_ID,Well,Plate,Country,RNA_conc(ng/µl),Aim conc (ng/µl),Final conc (ng/µl),RNA (µl),H2O (µl),End_vol (µl),,Final Conc.Total (ng),,,
CFR0375,F01,RPA0003,FRA,159.6,20.0,20.3,6.4,44.0,50.0,50.4,1013.3,,,
CAR0389,G01,RPA0003,USA,53,20.0,20.1,19.0,31.0,50.0,50.0,1007.0,,,
CFR0292,H01,RPA0003,FRA,304.4,20.0,20.5,3.4,47.0,50.0,50.4,1026.7,,,
DEPC,A02,RPA0003,DEPC,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0398,B02,RPA0003,FRA,339.4,20.0,20.4,3.0,47.0,50.0,50.0,1018.2,,,
CAR0474,C02,RPA0003,USA,155.4,20.0,20.3,6.6,44.0,50.0,50.6,1013.5,,,
CGR0403,D02,RPA0003,GER,98.9,20.0,19.8,10.0,40.0,50.0,50.0,989.0,,,
CFR0433,E02,RPA0003,FRA,42.2,20.0,20.3,24.0,26.0,50.0,50.0,1012.8,,,
CGR0424,F02,RPA0003,GER,178,20.0,19.9,5.6,44.4,50.0,50.0,996.8,,,
CGR0303,G02,RPA0003,GER,21.5,20.0,10.8,25.0,25.0,50.0,50.0,537.5,,,
CGR0459,H02,RPA0003,GER,135.3,20.0,19.9,7.4,43.0,50.0,50.4,993.3,,,
CFR0200,A03,RPA0003,FRA,272.9,20.0,19.6,3.6,46.4,50.0,50.0,982.4,,,
CGR0023,B03,RPA0003,GER,232.7,20.0,20.3,4.4,46.0,50.0,50.4,1015.8,,,
CAR0780,C03,RPA0003,USA,209.5,20.0,20.1,4.8,45.2,50.0,50.0,1005.6,,,
CFR0219,D03,RPA0003,FRA,24.5,20.0,12.3,25.0,25.0,50.0,50.0,612.5,,,
CFR0359,E03,RPA0003,FRA,101.5,20.0,20.3,10.0,40.0,50.0,50.0,1015.0,,,
CFR0170,F03,RPA0003,FRA,71.9,20.0,21.6,15.0,35.0,50.0,50.0,1078.5,,,
CGR0217,G03,RPA0003,GER,182.7,20.0,19.6,5.4,45.0,50.0,50.4,978.8,,,
CAR0471,H03,RPA0003,USA,66.5,20.0,20.0,15.0,35.0,50.0,50.0,1000.0,,,
CGR0297,A04,RPA0003,GER,339,20.0,20.3,3.0,47.0,50.0,50.0,1017.0,,,
CAR0529,B04,RPA0003,USA,14.9,20.0,7.5,25.0,25.0,50.0,50.0,372.5,,,
CFR0081,C04,RPA0003,FRA,22.6,20.0,11.3,25.0,25.0,50.0,50.0,565.0,,,
EB,D04,RPA0003,EB,0,20.0,0.0,25.0,25.0,50.0,50.0,0.0,,,
CFR0097,E04,RPA0003,FRA,122.5,20.0,19.6,8.0,42.0,50.0,50.0,980.0,,,
CFR0455,F04,RPA0003,FRA,38.3,20.0,19.2,25.0,25.0,50.0,50.0,957.5,,,
CFR0067,G04,RPA0003,FRA,82.3,20.0,24.7,15.0,35.0,50.0,50.0,1234.5,,,
CGR0199,H04,RPA0003,GER,111.4,20.0,20.0,9.0,41.0,50.0,50.0,1000.0,,,
CGR0075,A05,RPA0003,GER,94.8,20.0,19.0,10.0,40.0,50.0,50.0,948.0,,,
CFR0005,B05,RPA0003,FRA,22.5,20.0,11.3,25.0,25.0,50.0,50.0,562.5,,,
CGR0190,C05,RPA0003,GER,257.8,20.0,20.6,4.0,46.0,50.0,50.0,1031.2,,,
